Player1,Player2,Player3,Player4,Barycenter
"[6210.70068359375, 6534.1474609375]","[6090.1533203125, 4234.16259765625]","[6049.87060546875, 3164.566162109375]","[5141.44384765625, 3916.378173828125]","[6025.193359375, 3701.596435546875]"
"[6126.89453125, 4706.9541015625]","[5890.41162109375, 4468.8955078125]","[5677.19873046875, 3137.520751953125]","[6140.3525390625, 6911.70068359375]","[5927.94091796875, 3592.12548828125]"
"[3093.36376953125, 5957.494140625]","[3321.95263671875, 4780.1240234375]","[4362.63330078125, 3773.838134765625]","[3199.622802734375, 4797.62158203125]","[3566.623779296875, 3677.60986328125]"
"[5207.169921875, 7051.53955078125]","[5632.1455078125, 6762.453125]","[5255.77587890625, 5697.60693359375]","[4993.47509765625, 5560.4716796875]","[5556.32958984375, 5221.26513671875]"
"[4960.94580078125, 2598.876220703125]","[4391.66162109375, 4546.42822265625]","[4090.369384765625, 1441.877197265625]","[4482.59716796875, 546.2814331054688]","[4337.28125, 1874.10546875]"
"[4457.69580078125, 6283.08447265625]","[4182.837890625, 2804.805419921875]","[3779.0693359375, 3017.56396484375]","[3677.975830078125, 1511.062744140625]","[4510.2294921875, 2723.53759765625]"
"[6870.896484375, 6707.47314453125]","[7334.93017578125, 5842.73046875]","[7196.080078125, 5449.60791015625]","[7531.4169921875, 4548.08837890625]","[7202.81298828125, 4199.51318359375]"
"[6438.46240234375, 6431.9990234375]","[6947.92822265625, 3631.848388671875]","[6978.68994140625, 2267.0810546875]","[6836.8515625, 830.1612548828125]","[6868.017578125, 2659.501220703125]"
"[5300.494140625, 5867.53759765625]","[4402.7177734375, 5194.6611328125]","[4783.94580078125, 3662.04052734375]","[4817.57763671875, 2920.390625]","[4848.2568359375, 3315.417724609375]"
"[5409.20556640625, 2868.375244140625]","[5069.75, 4909.48876953125]","[5574.31201171875, 2490.22705078125]","[4942.126953125, 4613.86328125]","[5337.01220703125, 3367.62109375]"
"[6792.22314453125, 6074.08740234375]","[6335.0283203125, 5369.130859375]","[6886.5166015625, 4471.93603515625]","[6495.38134765625, 4869.76904296875]","[6565.111328125, 4452.91455078125]"
"[3266.768310546875, 2193.449951171875]","[4094.12353515625, 1786.1595458984375]","[4393.6982421875, 953.2681884765625]","[4024.97509765625, 2194.185791015625]","[3941.85498046875, 1609.3111572265625]"
"[4362.25927734375, 4309.05419921875]","[3520.0947265625, 5652.1064453125]","[3876.8349609375, 3463.984619140625]","[4188.3408203125, 4465.818359375]","[3998.203125, 4030.40771484375]"
"[7387.4990234375, 5431.75146484375]","[7868.1494140625, 5161.85107421875]","[7652.24169921875, 4791.31591796875]","[7463.7001953125, 3872.0673828125]","[7574.53759765625, 4324.47314453125]"
"[6276.388671875, 6755.06298828125]","[6199.49169921875, 4913.7685546875]","[5419.93017578125, 5403.6787109375]","[6028.56884765625, 4327.85009765625]","[5990.94921875, 4612.5244140625]"
"[3921.5888671875, 5087.126953125]","[3724.343994140625, 5575.40283203125]","[3880.55126953125, 3706.50439453125]","[3034.822998046875, 5014.22607421875]","[3465.500244140625, 4279.18017578125]"
"[2518.10205078125, 6022.4326171875]","[3599.713134765625, 5719.873046875]","[3552.271240234375, 4546.3525390625]","[3143.137451171875, 2236.44677734375]","[3251.854248046875, 3459.544677734375]"
"[5916.3857421875, 4472.9775390625]","[6060.6171875, 6531.56396484375]","[6857.3056640625, 3786.3740234375]","[6366.40771484375, 3222.01416015625]","[6216.57275390625, 3246.8447265625]"
"[3979.196533203125, 5336.01513671875]","[4545.76318359375, 3229.67431640625]","[4252.37890625, 2281.503662109375]","[4266.56689453125, 3872.682861328125]","[4327.60791015625, 3519.822021484375]"
"[3992.318359375, 2546.49609375]","[3896.6728515625, 3109.83984375]","[nan, nan]","[nan, nan]","[3944.49560546875, 2828.16796875]"
