Player1,Player2,Player3,Player4,Barycenter
"[3907.426025390625, 5350.80712890625]","[3599.43701171875, 3905.346923828125]","[3761.42529296875, 2805.99951171875]","[3819.018798828125, 1636.9649658203125]","[4099.203125, 3270.091796875]"
"[560.8892822265625, 4579.98974609375]","[1065.939208984375, 3845.318359375]","[881.2871704101562, 3734.73388671875]","[476.5987854003906, 3121.625]","[731.5215454101562, 3457.331298828125]"
"[3259.304443359375, 4503.216796875]","[3336.44384765625, 3606.392822265625]","[3565.570068359375, 2283.110595703125]","[2700.26318359375, 1267.156982421875]","[3168.8798828125, 1853.2503662109375]"
"[4753.2744140625, 6454.18115234375]","[4711.35888671875, 3042.517578125]","[4853.4931640625, 4121.28564453125]","[4840.35791015625, 4398.71875]","[4592.35400390625, 2891.970458984375]"
"[2812.67431640625, 1472.7906494140625]","[3360.285400390625, 3170.8974609375]","[2806.1259765625, 2332.432373046875]","[3088.893798828125, 653.353271484375]","[3193.087158203125, 1514.1746826171875]"
"[4201.38671875, 6485.302734375]","[4597.9169921875, 6894.259765625]","[3199.62841796875, 5149.8837890625]","[4066.693603515625, 5917.37646484375]","[4104.3203125, 5031.0576171875]"
"[3207.14453125, 3854.884521484375]","[3249.300537109375, 3571.41796875]","[3485.544189453125, 2520.044677734375]","[3885.66455078125, 558.1038208007812]","[3458.8974609375, 1707.26806640625]"
"[3252.905517578125, 3388.69970703125]","[2313.027587890625, 3618.119873046875]","[2177.610595703125, 2890.677978515625]","[3227.786376953125, 1955.3408203125]","[2802.57177734375, 2029.616455078125]"
"[1547.215087890625, 5457.7080078125]","[1440.50830078125, 5818.77880859375]","[1228.494140625, 5835.0009765625]","[1261.3326416015625, 5763.07861328125]","[1302.94140625, 5758.50537109375]"
"[4833.3076171875, 3233.174560546875]","[3717.95263671875, 3620.84130859375]","[3846.32275390625, 2806.419921875]","[4220.76806640625, 1616.3740234375]","[4322.0986328125, 2756.03271484375]"
"[5721.232421875, 3902.816162109375]","[5641.8818359375, 4382.01318359375]","[6208.58251953125, 3813.853515625]","[5800.97509765625, 5156.72021484375]","[5978.18798828125, 3624.88623046875]"
"[4840.49951171875, 5267.3359375]","[nan, nan]","[nan, nan]","[nan, nan]","[4840.49951171875, 5267.3359375]"
"[4840.49951171875, 5267.3359375]","[nan, nan]","[nan, nan]","[nan, nan]","[4840.49951171875, 5267.3359375]"
"[4947.9189453125, 5065.56201171875]","[5581.8544921875, 5062.02880859375]","[nan, nan]","[nan, nan]","[5264.88671875, 5063.79541015625]"
"[4900.60400390625, 5134.3603515625]","[5239.66796875, 5120.3798828125]","[5599.56396484375, 5138.609375]","[4971.359375, 5124.373046875]","[5150.27587890625, 5127.4619140625]"
"[4732.01123046875, 5761.09033203125]","[5012.56787109375, 5771.12158203125]","[5116.0068359375, 5602.171875]","[5221.37939453125, 5741.34326171875]","[4943.10107421875, 5625.12060546875]"
"[4765.14892578125, 5682.333984375]","[5036.2431640625, 5637.40283203125]","[5126.029296875, 5714.34326171875]","[4871.04443359375, 5724.15966796875]","[4939.70361328125, 5685.83154296875]"
"[5104.83056640625, 5947.0986328125]","[4931.6943359375, 4867.5966796875]","[5243.34765625, 5060.3583984375]","[5115.9736328125, 4771.93408203125]","[5094.35205078125, 5032.62255859375]"
"[4926.4140625, 6673.56884765625]","[4586.60009765625, 6170.396484375]","[4728.18017578125, 6467.560546875]","[4870.77197265625, 6553.66064453125]","[4777.9912109375, 6466.29638671875]"
"[5025.57958984375, 2700.443359375]","[4912.50048828125, 2612.791259765625]","[4843.8134765625, 2691.751220703125]","[4875.009765625, 2694.13916015625]","[4925.14306640625, 2679.052978515625]"
"[4821.21826171875, 4946.03564453125]","[5085.12451171875, 2734.36669921875]","[4840.5634765625, 3825.4189453125]","[4639.18798828125, 1684.8907470703125]","[4857.5322265625, 3521.875]"
"[5890.8125, 2947.957275390625]","[5785.69775390625, 6963.5849609375]","[6057.83837890625, 3105.802978515625]","[6081.44287109375, 1952.4498291015625]","[6063.66943359375, 3186.281494140625]"
"[4840.49951171875, 5267.3359375]","[nan, nan]","[nan, nan]","[nan, nan]","[4840.49951171875, 5267.3359375]"
"[4947.9189453125, 5065.56201171875]","[5581.8544921875, 5062.02880859375]","[nan, nan]","[nan, nan]","[5264.88671875, 5063.79541015625]"
"[4900.60400390625, 5134.3603515625]","[5239.66796875, 5120.3798828125]","[5599.56396484375, 5138.609375]","[4971.359375, 5124.373046875]","[5150.27587890625, 5127.4619140625]"
"[4732.01123046875, 5761.09033203125]","[5012.56787109375, 5771.12158203125]","[5116.0068359375, 5602.171875]","[5221.37939453125, 5741.34326171875]","[4943.10107421875, 5625.12060546875]"
"[4765.14892578125, 5682.333984375]","[5036.2431640625, 5637.40283203125]","[5126.029296875, 5714.34326171875]","[4871.04443359375, 5724.15966796875]","[4939.70361328125, 5685.83154296875]"
"[5104.83056640625, 5947.0986328125]","[4931.6943359375, 4867.5966796875]","[5243.34765625, 5060.3583984375]","[5115.9736328125, 4771.93408203125]","[5094.35205078125, 5032.62255859375]"
"[4926.4140625, 6673.56884765625]","[4586.60009765625, 6170.396484375]","[4728.18017578125, 6467.560546875]","[4870.77197265625, 6553.66064453125]","[4777.9912109375, 6466.29638671875]"
"[5025.57958984375, 2700.443359375]","[4912.50048828125, 2612.791259765625]","[4843.8134765625, 2691.751220703125]","[4875.009765625, 2694.13916015625]","[4925.14306640625, 2679.052978515625]"
