Player1,Player2,Player3,Player4,Barycenter
"[7323.0400390625, 3076.07470703125]","[8145.99169921875, 3383.286376953125]","[8258.4736328125, 2889.615234375]","[nan, nan]","[7909.16796875, 3116.325439453125]"
"[2884.456298828125, 3691.839599609375]","[nan, nan]","[nan, nan]","[nan, nan]","[2884.456298828125, 3691.839599609375]"
"[5408.15087890625, 1648.560302734375]","[5698.736328125, 1197.5052490234375]","[5025.1025390625, 2617.897705078125]","[6121.05810546875, 3325.60791015625]","[5563.26171875, 2197.392578125]"
"[6780.4091796875, 3211.326171875]","[7402.7685546875, 4823.65380859375]","[6233.6591796875, 2059.780517578125]","[7226.51318359375, 962.6138916015625]","[6886.99365234375, 2321.660888671875]"
"[5501.69140625, 1265.6314697265625]","[5637.32421875, 3648.871337890625]","[4822.31640625, 3954.12548828125]","[4779.07421875, 2045.3448486328125]","[5118.08935546875, 1836.9871826171875]"
"[7203.41650390625, 6367.99267578125]","[7941.25439453125, 6770.23779296875]","[6835.9541015625, 5688.7314453125]","[6929.3564453125, 5811.8681640625]","[7429.80712890625, 5517.09033203125]"
"[6910.11376953125, 4081.7470703125]","[6489.09912109375, 2907.031005859375]","[5883.54345703125, 1292.7476806640625]","[nan, nan]","[6427.58544921875, 2760.5087890625]"
"[5493.556640625, 988.2650146484375]","[5177.35888671875, 1666.800048828125]","[4770.65576171875, 434.59796142578125]","[5696.5419921875, 2434.88818359375]","[5284.5283203125, 1381.1376953125]"
"[5224.5966796875, 5243.83935546875]","[5004.671875, 2721.7275390625]","[4007.960693359375, 2841.14208984375]","[4371.998046875, 3137.77587890625]","[4517.4912109375, 3073.306396484375]"
"[7506.2470703125, 5447.1123046875]","[6792.1357421875, 4196.78564453125]","[6709.66796875, 3988.741455078125]","[7023.76123046875, 2646.9267578125]","[7071.07080078125, 3804.541748046875]"
"[9630.2880859375, 4814.0888671875]","[8990.40234375, 4062.63720703125]","[nan, nan]","[nan, nan]","[9310.345703125, 4438.36328125]"
"[6962.24267578125, 5264.83935546875]","[6579.189453125, 5268.09423828125]","[6774.29541015625, 5257.984375]","[7046.0947265625, 5267.0634765625]","[6818.91552734375, 5262.61572265625]"
"[6962.24267578125, 5264.83935546875]","[6579.189453125, 5268.09423828125]","[6774.29541015625, 5257.984375]","[7046.0947265625, 5267.0634765625]","[6818.91552734375, 5262.61572265625]"
"[6866.236328125, 5028.64599609375]","[6798.9658203125, 5027.05859375]","[6660.98193359375, 5034.25390625]","[6737.91796875, 5014.8916015625]","[6690.89794921875, 5030.44287109375]"
"[6848.25048828125, 5127.9580078125]","[6782.85546875, 5126.021484375]","[6652.6591796875, 5119.6005859375]","[6567.66552734375, 5133.556640625]","[6717.9951171875, 5122.52734375]"
"[6406.6044921875, 5666.80224609375]","[6337.04541015625, 5564.916015625]","[6518.4013671875, 5575.158203125]","[6674.61474609375, 5611.44970703125]","[6395.63818359375, 5599.9658203125]"
"[6918.3115234375, 5957.69921875]","[6967.875, 5794.70751953125]","[7177.2177734375, 5791.337890625]","[7033.6591796875, 5823.20751953125]","[7077.21728515625, 5825.70166015625]"
"[7229.8603515625, 4819.62548828125]","[6925.7548828125, 4885.14111328125]","[6681.93115234375, 3414.136962890625]","[7073.99609375, 4723.4912109375]","[7011.9443359375, 4688.68505859375]"
"[7808.9326171875, 5903.3115234375]","[7918.9970703125, 6081.4482421875]","[7563.896484375, 6044.83203125]","[8024.94091796875, 6117.654296875]","[7588.119140625, 6050.43017578125]"
"[8215.0908203125, 5782.7041015625]","[7788.3291015625, 6088.3125]","[7885.71728515625, 6042.04443359375]","[7912.265625, 5602.306640625]","[7918.39453125, 5378.0478515625]"
"[7930.451171875, 5300.357421875]","[8114.42822265625, 3897.138427734375]","[8100.67578125, 3132.587158203125]","[7890.228515625, 2289.94189453125]","[7787.60791015625, 3609.4912109375]"
"[9155.1376953125, 3789.596435546875]","[8605.10546875, 2831.9150390625]","[9005.6181640625, 2191.57177734375]","[nan, nan]","[8921.953125, 2937.694580078125]"
"[6962.24267578125, 5264.83935546875]","[6579.189453125, 5268.09423828125]","[6774.29541015625, 5257.984375]","[7046.0947265625, 5267.0634765625]","[6818.91552734375, 5262.61572265625]"
"[6866.236328125, 5028.64599609375]","[6798.9658203125, 5027.05859375]","[6660.98193359375, 5034.25390625]","[6737.91796875, 5014.8916015625]","[6690.89794921875, 5030.44287109375]"
"[6848.25048828125, 5127.9580078125]","[6782.85546875, 5126.021484375]","[6652.6591796875, 5119.6005859375]","[6567.66552734375, 5133.556640625]","[6717.9951171875, 5122.52734375]"
"[6406.6044921875, 5666.80224609375]","[6337.04541015625, 5564.916015625]","[6518.4013671875, 5575.158203125]","[6674.61474609375, 5611.44970703125]","[6395.63818359375, 5599.9658203125]"
"[6918.3115234375, 5957.69921875]","[6967.875, 5794.70751953125]","[7177.2177734375, 5791.337890625]","[7033.6591796875, 5823.20751953125]","[7077.21728515625, 5825.70166015625]"
"[7229.8603515625, 4819.62548828125]","[6925.7548828125, 4885.14111328125]","[6681.93115234375, 3414.136962890625]","[7073.99609375, 4723.4912109375]","[7011.9443359375, 4688.68505859375]"
"[7808.9326171875, 5903.3115234375]","[7918.9970703125, 6081.4482421875]","[7563.896484375, 6044.83203125]","[8024.94091796875, 6117.654296875]","[7588.119140625, 6050.43017578125]"
"[8215.0908203125, 5782.7041015625]","[7788.3291015625, 6088.3125]","[7885.71728515625, 6042.04443359375]","[7912.265625, 5602.306640625]","[7918.39453125, 5378.0478515625]"
"[7930.451171875, 5300.357421875]","[8114.42822265625, 3897.138427734375]","[8100.67578125, 3132.587158203125]","[7890.228515625, 2289.94189453125]","[7787.60791015625, 3609.4912109375]"
"[9155.1376953125, 3789.596435546875]","[8605.10546875, 2831.9150390625]","[9005.6181640625, 2191.57177734375]","[nan, nan]","[8921.953125, 2937.694580078125]"
